neighbourhood_cleansed,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bathrooms_shared,logprice
VII San Giovanni/Cinecittà,12.51527,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.454347296253507
VII San Giovanni/Cinecittà,12.55918,Private room in rental unit,Private room,2,1.0,1.0,2.0,False,3.6888794541139363
XII Monte Verde,12.4673,Entire rental unit,Entire home/apt,2,1.0,1.0,4.0,False,4.762173934797756
II Parioli/Nomentano,12.51563,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,False,4.787491742782046
I Centro Storico,12.45206,Entire condo,Entire home/apt,2,1.0,1.0,1.0,False,5.278114659230517
XIII Aurelia,12.45584,Entire condo,Entire home/apt,3,1.0,1.0,2.0,False,4.430816798843313
I Centro Storico,12.49663,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,True,3.988984046564274
I Centro Storico,12.47333,Entire condo,Entire home/apt,2,1.0,1.0,1.0,False,4.736198448394496
I Centro Storico,12.49509,Private room in bed and breakfast,Private room,3,3.0,3.0,3.0,True,3.988984046564274
I Centro Storico,12.49303,Entire condo,Entire home/apt,3,1.0,1.0,1.0,False,4.867534450455582
XIII Aurelia,12.44835,Entire condo,Entire home/apt,2,1.0,1.0,3.0,False,4.828313737302301
I Centro Storico,12.47379,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.718498871295094
I Centro Storico,12.4906,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.787491742782046
I Centro Storico,12.47405,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.0689042022202315
I Centro Storico,12.48907,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,False,4.605170185988091
VII San Giovanni/Cinecittà,12.50485,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.2626798770413155
I Centro Storico,12.4966,Entire loft,Entire home/apt,4,1.5,1.0,2.0,False,4.820281565605037
I Centro Storico,12.47288,Entire condo,Entire home/apt,13,4.0,5.0,9.0,False,6.705639094860002
XIII Aurelia,12.45127,Entire condo,Entire home/apt,6,3.0,2.0,4.0,False,5.480638923341991
I Centro Storico,12.47288,Entire rental unit,Entire home/apt,8,3.0,4.0,5.0,False,6.340359303727752
I Centro Storico,12.47611,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,False,6.499787040655854
I Centro Storico,12.4562,Private room in bed and breakfast,Private room,4,1.0,1.0,4.0,False,4.812184355372417
I Centro Storico,12.49993,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.51085950651685
I Centro Storico,12.49815,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,False,5.393627546352361
I Centro Storico,12.457028,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.727387818712341
I Centro Storico,12.46911,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,False,5.402677381872279
I Centro Storico,12.48465,Entire rental unit,Entire home/apt,5,1.0,2.0,5.0,False,5.521460917862246
I Centro Storico,12.48644,Entire rental unit,Entire home/apt,3,1.5,1.0,3.0,False,5.0106352940962555
I Centro Storico,12.50053,Entire rental unit,Entire home/apt,11,3.0,4.0,7.0,False,6.251903883165888
I Centro Storico,12.48444,Entire rental unit,Entire home/apt,4,2.0,1.0,4.0,False,5.4510384535657
I Centro Storico,12.46627,Entire rental unit,Entire home/apt,6,2.0,2.0,0.0,False,5.521460917862246
I Centro Storico,12.49997,Entire rental unit,Entire home/apt,14,5.0,5.0,9.0,False,6.709304340258298
I Centro Storico,12.46977,Entire rental unit,Entire home/apt,6,1.0,2.0,0.0,False,5.521460917862246
II Parioli/Nomentano,12.5224,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,False,5.10594547390058
I Centro Storico,12.50514,Private room in bed and breakfast,Private room,11,4.0,4.0,6.0,False,4.477336814478206
V Prenestino/Centocelle,12.52844,Private room in rental unit,Private room,3,1.0,1.0,3.0,False,4.007333185232471
I Centro Storico,12.50597,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.477336814478206
VII San Giovanni/Cinecittà,12.50654,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,False,4.820281565605037
I Centro Storico,12.50571,Private room in rental unit,Private room,4,1.0,1.0,2.0,False,4.68213122712422
VII San Giovanni/Cinecittà,12.53032,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.605170185988091
I Centro Storico,12.44689,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.406719247264253
I Centro Storico,12.50608,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.477336814478206
I Centro Storico,12.47536,Entire rental unit,Entire home/apt,5,1.0,1.0,1.0,False,4.844187086458591
I Centro Storico,12.50584,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,False,4.564348191467836
XIV Monte Mario,12.442726320927866,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.624972813284271
III Monte Sacro,12.5484,Entire vacation home,Entire home/apt,6,1.0,2.0,2.0,False,4.2484952420493585
II Parioli/Nomentano,12.51776,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,False,4.787491742782046
III Monte Sacro,12.52154,Entire vacation home,Entire home/apt,12,6.5,6.0,6.0,False,6.989335265974559
I Centro Storico,12.47807,Entire loft,Entire home/apt,2,1.0,1.0,1.0,False,4.787491742782046
XIII Aurelia,12.44437,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,False,5.272999558563747
I Centro Storico,12.4917,Entire rental unit,Entire home/apt,3,1.0,1.0,3.0,False,5.017279836814924
VII San Giovanni/Cinecittà,12.51359,Entire rental unit,Entire home/apt,7,1.0,2.0,3.0,False,5.327876168789581
VII San Giovanni/Cinecittà,12.50437,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.795790545596741
I Centro Storico,12.50139,Entire vacation home,Entire home/apt,5,2.0,2.0,3.0,False,5.075173815233827
III Monte Sacro,12.52919,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.442651256490317
XII Monte Verde,12.46756,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.653960350157523
IX Eur,12.46306,Entire condo,Entire home/apt,4,1.0,1.0,2.0,False,4.61512051684126
I Centro Storico,12.46875,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,5.1179938124167546
XV Cassia/Flaminia,12.4401,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.867534450455582
I Centro Storico,12.47075,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.890349128221754
VII San Giovanni/Cinecittà,12.543291091918944,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.418840607796597
I Centro Storico,12.47607,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.90527477843843
I Centro Storico,12.47062,Entire loft,Entire home/apt,11,4.0,5.0,8.0,False,6.461468176353717
VII San Giovanni/Cinecittà,12.52006,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,False,4.787491742782046
XIII Aurelia,12.45392,Entire rental unit,Entire home/apt,11,3.0,3.0,6.0,False,5.627621113690637
I Centro Storico,12.503888130187988,Room in bed and breakfast,Hotel room,2,3.0,1.0,1.0,True,4.477336814478206
I Centro Storico,12.4728,Entire rental unit,Entire home/apt,10,2.0,4.0,10.0,False,5.517452896464707
XIII Aurelia,12.45292,Entire condo,Entire home/apt,2,1.0,1.0,1.0,False,4.9344739331306915
I Centro Storico,12.50603,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,True,4.290459441148391
I Centro Storico,12.4708188,Entire loft,Entire home/apt,3,2.5,2.0,2.0,False,5.111987788356543
I Centro Storico,12.46542,Private room in loft,Private room,3,1.0,1.0,1.0,False,4.110873864173311
I Centro Storico,12.45652,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.663439094112067
XIII Aurelia,12.45569,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.382026634673881
I Centro Storico,12.46665,Private room in loft,Private room,4,1.0,1.0,2.0,False,4.04305126783455
II Parioli/Nomentano,12.51528,Entire rental unit,Entire home/apt,12,2.0,4.0,12.0,False,5.8971538676367405
XIII Aurelia,12.45247,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.499809670330265
I Centro Storico,12.47865,Entire condo,Entire home/apt,4,1.0,1.0,5.0,False,5.488937726156686
I Centro Storico,12.47005,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,False,5.1298987149230735
II Parioli/Nomentano,12.49732,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.1588830833596715
I Centro Storico,12.44975,Entire condo,Entire home/apt,3,1.5,1.0,2.0,False,4.605170185988091
I Centro Storico,12.47212,Entire condo,Entire home/apt,4,1.0,2.0,4.0,False,5.0106352940962555
I Centro Storico,12.4726,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.0106352940962555
II Parioli/Nomentano,12.523541,Entire rental unit,Entire home/apt,10,4.0,4.0,10.0,False,5.991464547107982
I Centro Storico,12.45304,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.553876891600541
I Centro Storico,12.49102,Private room in rental unit,Private room,3,1.0,1.0,2.0,False,4.343805421853684
VII San Giovanni/Cinecittà,12.50918,Private room in rental unit,Private room,3,1.0,1.0,1.0,False,4.31748811353631
VII San Giovanni/Cinecittà,12.52429,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.0943445622221
I Centro Storico,12.49128,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,False,5.298317366548036
I Centro Storico,12.47855,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,False,4.976733742420574
X Ostia/Acilia,12.28699,Entire condo,Entire home/apt,9,2.0,3.0,9.0,False,5.393627546352361
II Parioli/Nomentano,12.50915,Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,False,4.553876891600541
VII San Giovanni/Cinecittà,12.50881,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,False,5.62040086571715
I Centro Storico,12.46975,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,False,4.867534450455582
I Centro Storico,12.47148,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.941642422609304
I Centro Storico,12.50423,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.564348191467836
V Prenestino/Centocelle,12.52974,Entire condo,Entire home/apt,4,1.0,1.0,2.0,False,5.043425116919247
I Centro Storico,12.46861,Room in bed and breakfast,Hotel room,2,1.0,1.0,1.0,False,4.74493212836325
I Centro Storico,12.4451,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.442651256490317
I Centro Storico,12.4766,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,False,5.814130531825066
