neighbourhood_cleansed,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bathrooms_shared,logprice
II Parioli/Nomentano,12.51384,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,False,4.68213122712422
II Parioli/Nomentano,12.51576,Entire rental unit,Entire home/apt,5,1.0,2.0,5.0,False,4.976733742420574
V Prenestino/Centocelle,12.56124,Entire vacation home,Entire home/apt,5,1.0,3.0,3.0,False,5.081404364984463
II Parioli/Nomentano,12.51382,Entire rental unit,Entire home/apt,2,1.0,1.0,4.0,False,4.852030263919617
XIV Monte Mario,12.4423,Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,True,3.828641396489095
XIV Monte Mario,12.44428,Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,True,3.828641396489095
I Centro Storico,12.46759,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,3.912023005428146
I Centro Storico,12.46976,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,False,5.420534999272285
I Centro Storico,12.50493,Private room in bed and breakfast,Private room,4,1.0,3.0,4.0,False,4.406719247264253
VII San Giovanni/Cinecittà,12.50613,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.605170185988091
VII San Giovanni/Cinecittà,12.51077,Private room in condo,Private room,2,1.0,1.0,2.0,False,4.2484952420493585
XII Monte Verde,12.45362,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.2484952420493585
XI Arvalia/Portuense,12.39351,Private room in rental unit,Private room,1,2.0,1.0,1.0,False,3.6375861597263857
I Centro Storico,12.4640218,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.875197323201151
I Centro Storico,12.49504,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,False,5.075173815233827
IV Tiburtina,12.53647,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.700480365792416
I Centro Storico,12.46857,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,False,5.075173815233827
XI Arvalia/Portuense,12.39104,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,False,3.6888794541139363
I Centro Storico,12.49802,Entire loft,Entire home/apt,2,1.0,1.0,2.0,False,4.941642422609304
XII Monte Verde,12.42097,Entire rental unit,Entire home/apt,9,1.0,3.0,7.0,False,4.787491742782046
I Centro Storico,12.49616,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,False,4.795790545596741
I Centro Storico,12.47116,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,5.365976015021851
I Centro Storico,12.45983,Entire rental unit,Entire home/apt,9,2.0,3.0,6.0,False,5.288267030694535
VIII Appia Antica,12.57381,Entire villa,Entire home/apt,14,5.0,6.0,7.0,False,7.313220387090301
V Prenestino/Centocelle,12.52181,Private room in tiny home,Private room,2,1.0,1.0,3.0,False,3.9318256327243257
XII Monte Verde,12.42494,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.499809670330265
I Centro Storico,12.50307,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.61512051684126
VIII Appia Antica,12.50524,Private room in rental unit,Private room,2,1.0,1.0,2.0,True,4.605170185988091
I Centro Storico,12.4796,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.641907070938114
I Centro Storico,12.5008,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.59511985013459
I Centro Storico,12.45821,Entire rental unit,Entire home/apt,4,2.0,1.0,2.0,False,4.770684624465664
II Parioli/Nomentano,12.51045,Private room in bed and breakfast,Private room,3,1.0,1.0,1.0,False,4.828313737302301
I Centro Storico,12.47188,Private room in rental unit,Private room,2,1.0,1.0,2.0,False,5.0689042022202315
VIII Appia Antica,12.47779,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.382026634673881
I Centro Storico,12.47305,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,5.303304908059076
I Centro Storico,12.47355,Private room in rental unit,Private room,3,1.0,1.0,2.0,False,5.438079308923196
I Centro Storico,12.47392,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,5.181783550292085
I Centro Storico,12.46759,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,False,4.804021044733257
XII Monte Verde,12.46452,Private room in home,Private room,2,1.0,1.0,2.0,False,3.988984046564274
XII Monte Verde,12.46501,Private room in condo,Private room,3,1.0,1.0,2.0,False,4.787491742782046
XII Monte Verde,12.46629,Private room in condo,Private room,3,1.0,1.0,3.0,False,4.787491742782046
I Centro Storico,12.44882,Private room in villa,Private room,3,1.0,1.0,2.0,False,4.605170185988091
I Centro Storico,12.44899,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,False,4.663439094112067
I Centro Storico,12.46809,Private room in serviced apartment,Private room,1,1.0,1.0,1.0,False,4.61512051684126
I Centro Storico,12.468488459730995,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,False,4.672828834461906
II Parioli/Nomentano,12.51401,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,False,4.2484952420493585
I Centro Storico,12.48126,Entire condo,Entire home/apt,4,2.0,2.0,2.0,False,5.723585101952381
I Centro Storico,12.4762,Room in boutique hotel,Private room,2,1.0,1.0,1.0,True,5.869296913133774
II Parioli/Nomentano,12.50966,Private room in bed and breakfast,Private room,3,1.0,1.0,1.0,False,4.828313737302301
II Parioli/Nomentano,12.50966,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.787491742782046
X Ostia/Acilia,12.27767,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,True,3.2188758248682006
I Centro Storico,12.46881028915656,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,False,4.663439094112067
I Centro Storico,12.4762,Room in boutique hotel,Private room,3,1.0,1.0,2.0,False,5.973809611869261
XI Arvalia/Portuense,12.40015,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,False,4.941642422609304
VIII Appia Antica,12.48698,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,False,4.382026634673881
I Centro Storico,12.4762,Entire rental unit,Entire home/apt,11,5.0,5.0,7.0,False,7.783224016336037
VIII Appia Antica,12.47385,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,5.247024072160486
I Centro Storico,12.44349,Entire rental unit,Entire home/apt,11,2.0,5.0,11.0,False,5.932245187448011
I Centro Storico,12.46975,Entire rental unit,Entire home/apt,16,5.0,6.0,9.0,False,6.677083461247135
V Prenestino/Centocelle,12.53711,Private room in rental unit,Private room,2,1.0,4.0,1.0,True,3.4339872044851463
XIII Aurelia,12.42203,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,False,4.6443908991413725
VII San Giovanni/Cinecittà,12.50959,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.718498871295094
I Centro Storico,12.48182,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,5.19295685089021
I Centro Storico,12.498956,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,False,4.653960350157523
VII San Giovanni/Cinecittà,12.60088,Private room in condo,Private room,2,1.0,1.0,1.0,False,3.332204510175204
I Centro Storico,12.45726,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,False,4.867534450455582
XIII Aurelia,12.44256,Entire rental unit,Entire home/apt,7,2.0,4.0,4.0,False,5.214935757608986
II Parioli/Nomentano,12.50901,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.584967478670571
I Centro Storico,12.50406,Private room in condo,Private room,2,2.0,1.0,2.0,True,4.2484952420493585
I Centro Storico,12.48461,Entire condo,Entire home/apt,6,2.0,2.0,3.0,False,5.272999558563747
XII Monte Verde,12.46403,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,False,4.700480365792416
VII San Giovanni/Cinecittà,12.50296,Entire condo,Entire home/apt,5,2.0,2.0,4.0,False,5.075173815233827
I Centro Storico,12.468,Entire loft,Entire home/apt,1,1.0,0.0,1.0,False,4.04305126783455
I Centro Storico,12.471446,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,5.25227342804663
I Centro Storico,12.48822,Entire loft,Entire home/apt,2,1.0,0.0,0.0,False,5.003946305945459
XIII Aurelia,12.4487,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.499809670330265
I Centro Storico,12.44544,Entire vacation home,Entire home/apt,3,1.0,0.0,2.0,False,4.465908118654584
I Centro Storico,12.49737,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.77912349311153
I Centro Storico,12.46288,Entire condo,Entire home/apt,9,2.0,3.0,5.0,False,5.768320995793772
XII Monte Verde,12.45836,Room in bed and breakfast,Hotel room,2,1.0,1.0,2.0,False,4.700480365792416
XII Monte Verde,12.45832,Room in bed and breakfast,Hotel room,4,1.0,1.0,4.0,False,4.6913478822291435
I Centro Storico,12.47223,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.867534450455582
II Parioli/Nomentano,12.51727,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.276666119016055
I Centro Storico,12.50332,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.499809670330265
I Centro Storico,12.47794,Entire rental unit,Entire home/apt,6,3.0,2.0,0.0,False,5.521460917862246
II Parioli/Nomentano,12.51549,Private room in vacation home,Private room,2,1.0,1.0,1.0,False,4.787491742782046
XI Arvalia/Portuense,12.400995567440988,Entire guest suite,Entire home/apt,3,1.0,1.0,1.0,False,4.330733340286331
I Centro Storico,12.49804,Room in bed and breakfast,Hotel room,2,1.0,2.0,1.0,False,5.19295685089021
I Centro Storico,12.50103,Entire condo,Entire home/apt,4,1.0,2.0,2.0,False,4.820281565605037
VIII Appia Antica,12.47861,Private room in home,Private room,2,1.0,1.0,1.0,False,4.174387269895637
I Centro Storico,12.49141,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.890349128221754
I Centro Storico,12.46062,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,False,4.499809670330265
I Centro Storico,12.4822,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,False,6.396929655216146
I Centro Storico,12.49499,Private room in serviced apartment,Private room,2,1.5,1.0,1.0,False,4.59511985013459
IV Tiburtina,12.53759,Private room in rental unit,Private room,3,1.0,1.0,2.0,False,4.499809670330265
II Parioli/Nomentano,12.50168,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.31748811353631
I Centro Storico,12.46983,Entire condo,Entire home/apt,5,1.0,2.0,3.0,False,4.859812404361672
I Centro Storico,12.49495,Room in boutique hotel,Hotel room,2,1.0,1.0,1.0,False,4.820281565605037
I Centro Storico,12.5073887,Entire vacation home,Entire home/apt,4,1.0,1.0,2.0,False,4.6443908991413725
I Centro Storico,12.48623,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,7.313220387090301
XIII Aurelia,12.44387,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.553876891600541
I Centro Storico,12.49458,Room in boutique hotel,Hotel room,3,1.0,1.0,2.0,False,5.093750200806762
I Centro Storico,12.49663,Private room in rental unit,Private room,4,1.0,1.0,2.0,False,5.389071729816501
V Prenestino/Centocelle,12.56233,Entire condo,Entire home/apt,5,1.0,2.0,3.0,False,4.382026634673881
I Centro Storico,12.496031761169434,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,5.0106352940962555
II Parioli/Nomentano,12.51117,Entire condo,Entire home/apt,4,1.0,1.0,1.0,False,5.0106352940962555
I Centro Storico,12.5089,Private room in condo,Private room,3,2.0,1.0,2.0,True,3.7612001156935624
I Centro Storico,12.50539,Private room in rental unit,Private room,4,1.0,1.0,3.0,False,4.07753744390572
I Centro Storico,12.46208,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.762173934797756
I Centro Storico,12.50275,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.276666119016055
VII San Giovanni/Cinecittà,12.52044,Private room in bed and breakfast,Private room,3,1.0,2.0,5.0,False,3.8066624897703196
XIII Aurelia,12.44306,Room in bed and breakfast,Hotel room,2,1.0,1.0,1.0,False,4.382026634673881
XIII Aurelia,12.44492,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.442651256490317
IX Eur,12.45454,Entire rental unit,Entire home/apt,4,2.0,3.0,4.0,False,4.77912349311153
I Centro Storico,12.46748,Entire rental unit,Entire home/apt,9,4.0,4.0,5.0,False,5.147494476813453
IV Tiburtina,12.56005,Private room in rental unit,Private room,2,1.0,1.0,2.0,True,3.295836866004329
I Centro Storico,12.46235,Entire rental unit,Entire home/apt,6,1.0,2.0,2.0,False,5.53338948872752
I Centro Storico,12.49549,Entire home,Entire home/apt,3,1.0,2.0,3.0,False,5.075173815233827
II Parioli/Nomentano,12.51622,Private room in rental unit,Private room,3,1.0,2.0,3.0,False,5.0106352940962555
I Centro Storico,12.46905,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,False,5.241747015059643
II Parioli/Nomentano,12.50861,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.718498871295094
I Centro Storico,12.44807,Entire rental unit,Entire home/apt,3,2.0,1.0,2.0,False,4.634728988229636
I Centro Storico,12.49988,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,5.0106352940962555
XII Monte Verde,12.44786,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,False,4.634728988229636
I Centro Storico,12.46941,Entire loft,Entire home/apt,5,1.0,1.0,1.0,False,5.003946305945459
I Centro Storico,12.49027,Entire condo,Entire home/apt,7,2.0,3.0,4.0,False,5.420534999272285
I Centro Storico,12.46208,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,False,5.2574953720277815
I Centro Storico,12.49296,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,5.036952602413629
XI Arvalia/Portuense,12.34468,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,3.912023005428146
I Centro Storico,12.51123,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.5217885770490405
I Centro Storico,12.49546,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,False,5.3981627015177525
XIII Aurelia,12.45505,Entire loft,Entire home/apt,4,2.0,2.0,3.0,False,5.375278407684164
XIII Aurelia,12.434859275817873,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.962844630259907
VII San Giovanni/Cinecittà,12.54701042175293,Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,False,4.2484952420493585
II Parioli/Nomentano,12.46393,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.189654742026425
VII San Giovanni/Cinecittà,12.54701042175293,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.430816798843313
XI Arvalia/Portuense,12.46703,Entire condo,Entire home/apt,4,1.0,1.0,2.0,False,5.298317366548036
VII San Giovanni/Cinecittà,12.546991375215397,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.430816798843313
I Centro Storico,12.47489,Entire condo,Entire home/apt,5,2.0,2.0,3.0,False,5.564520407322693
I Centro Storico,12.49634,Private room in condo,Private room,2,2.0,1.0,1.0,False,4.2626798770413155
I Centro Storico,12.48308,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,6.208590026096629
I Centro Storico,12.50519,Entire condo,Entire home/apt,4,1.0,2.0,3.0,False,4.7535901911063645
VII San Giovanni/Cinecittà,12.54684292889943,Private room in bed and breakfast,Private room,9,3.0,3.0,6.0,False,5.768320995793772
II Parioli/Nomentano,12.46516,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,False,4.736198448394496
I Centro Storico,12.47075,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,5.1298987149230735
IV Tiburtina,12.57143,Private room in rental unit,Private room,2,1.0,1.0,1.0,True,3.912023005428146
I Centro Storico,12.44618,Entire rental unit,Entire home/apt,10,3.0,3.0,7.0,False,5.0106352940962555
XIV Monte Mario,12.391,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,False,4.48863636973214
V Prenestino/Centocelle,12.52988,Entire rental unit,Entire home/apt,6,1.0,3.0,5.0,False,4.060443010546419
I Centro Storico,12.507905500894738,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,False,4.9126548857360515
VII San Giovanni/Cinecittà,12.51598,Entire vacation home,Entire home/apt,4,1.0,2.0,2.0,False,4.204692619390966
I Centro Storico,12.47118,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,5.0106352940962555
I Centro Storico,12.47072,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,False,5.017279836814924
I Centro Storico,12.493538856506348,Private room in condo,Private room,2,1.0,1.0,1.0,False,5.111987788356543
I Centro Storico,12.45751,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.174387269895637
I Centro Storico,12.46717,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,5.176149732573829
II Parioli/Nomentano,12.52532,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,False,4.867534450455582
X Ostia/Acilia,12.27823,Private room in bed and breakfast,Private room,3,1.5,1.0,2.0,False,3.6888794541139363
I Centro Storico,12.5012,Room in serviced apartment,Hotel room,2,1.0,1.0,1.0,False,4.6443908991413725
VII San Giovanni/Cinecittà,12.51204,Entire rental unit,Entire home/apt,5,1.0,2.0,5.0,False,5.0106352940962555
XIII Aurelia,12.44107,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,False,5.298317366548036
I Centro Storico,12.46906,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,False,5.003946305945459
I Centro Storico,12.45559,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,False,4.6443908991413725
II Parioli/Nomentano,12.51844,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.605170185988091
VII San Giovanni/Cinecittà,12.51348,Private room in rental unit,Private room,3,1.0,1.0,2.0,False,4.276666119016055
I Centro Storico,12.48138,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,False,5.90536184805457
XII Monte Verde,12.44803,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,3.8066624897703196
I Centro Storico,12.49262,Private room in guesthouse,Private room,3,0.0,0.0,0.0,True,5.062595033026967
XII Monte Verde,12.46647,Entire vacation home,Entire home/apt,5,2.0,2.0,3.0,False,5.056245805348308
I Centro Storico,12.47331,Entire rental unit,Entire home/apt,4,1.5,2.0,1.0,False,5.278114659230517
II Parioli/Nomentano,12.46578,Private room in rental unit,Private room,2,1.0,1.0,2.0,False,3.912023005428146
XIII Aurelia,12.44936,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.6443908991413725
V Prenestino/Centocelle,12.53704,Private room in rental unit,Private room,2,1.0,1.0,1.0,True,3.8066624897703196
II Parioli/Nomentano,12.51459,Private room in rental unit,Private room,4,2.0,1.0,3.0,True,5.043425116919247
VIII Appia Antica,12.498940117657185,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.406719247264253
I Centro Storico,12.467172622680664,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,False,4.812184355372417
VII San Giovanni/Cinecittà,12.51434,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,False,4.5217885770490405
I Centro Storico,12.45345,Entire condo,Entire home/apt,4,1.0,1.0,2.0,False,5.176149732573829
II Parioli/Nomentano,12.51348,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,False,4.584967478670571
III Monte Sacro,12.53539,Private room in rental unit,Private room,1,1.5,1.0,1.0,False,3.828641396489095
I Centro Storico,12.50571,Private room in rental unit,Private room,3,1.0,1.0,1.0,False,4.304065093204169
I Centro Storico,12.48905,Room in boutique hotel,Private room,2,1.0,5.0,1.0,False,5.0238805208462765
XIII Aurelia,12.44802,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,False,4.174387269895637
I Centro Storico,12.50553,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.2484952420493585
XII Monte Verde,12.466065406799316,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,False,5.598421958998374
I Centro Storico,12.50632,Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,False,5.075173815233827
I Centro Storico,12.49213,Entire rental unit,Entire home/apt,6,2.0,2.0,5.0,False,5.141663556502659
I Centro Storico,12.46167,Entire loft,Entire home/apt,2,1.0,0.0,2.0,False,4.553876891600541
VIII Appia Antica,12.4788,Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,False,5.703782474656201
XII Monte Verde,12.46037,Entire rental unit,Entire home/apt,5,1.5,1.0,4.0,False,4.0943445622221
II Parioli/Nomentano,12.46663,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.919980925828125
I Centro Storico,12.4925,Private room in condo,Private room,2,0.0,0.0,1.0,True,4.727387818712341
II Parioli/Nomentano,12.46681,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,5.1298987149230735
I Centro Storico,12.49808,Entire condo,Entire home/apt,11,5.0,5.0,6.0,False,6.270988431858299
I Centro Storico,12.46475,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.672828834461906
XII Monte Verde,12.45894,Entire rental unit,Entire home/apt,12,4.0,4.0,12.0,False,5.703782474656201
VII San Giovanni/Cinecittà,12.50521,Entire condo,Entire home/apt,4,1.0,1.0,2.0,False,4.634728988229636
I Centro Storico,12.48384,Entire rental unit,Entire home/apt,4,2.0,1.0,1.0,False,5.342334251964811
I Centro Storico,12.48892,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,False,5.814130531825066
I Centro Storico,12.50292,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.382026634673881
XII Monte Verde,12.44396,Entire condo,Entire home/apt,10,5.0,5.0,7.0,False,5.817111159963204
I Centro Storico,12.45527,Entire rental unit,Entire home/apt,5,1.0,2.0,2.0,False,4.927253685157204
I Centro Storico,12.4808,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,False,5.71042701737487
I Centro Storico,12.49536,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,False,5.19295685089021
I Centro Storico,12.49626922607422,Entire condo,Entire home/apt,6,2.0,3.0,4.0,False,5.902633333401366
VII San Giovanni/Cinecittà,12.50411,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.976733742420574
VIII Appia Antica,12.50193,Entire rental unit,Entire home/apt,6,2.0,3.0,6.0,False,4.2484952420493585
I Centro Storico,12.49895,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,5.049856007249537
VIII Appia Antica,12.49425,Entire rental unit,Entire home/apt,6,1.0,2.0,2.0,False,4.060443010546419
I Centro Storico,12.4707,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.477336814478206
I Centro Storico,12.46467,Private room in rental unit,Private room,3,1.0,1.0,2.0,False,4.770684624465664
VII San Giovanni/Cinecittà,12.504104614257812,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,5.043425116919247
VII San Giovanni/Cinecittà,12.504104614257812,Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,False,4.787491742782046
I Centro Storico,12.46942,Entire rental unit,Entire home/apt,5,1.5,2.0,6.0,False,4.394449154672438
VIII Appia Antica,12.48167,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,False,5.323009979138408
II Parioli/Nomentano,12.50974,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,False,4.7535901911063645
II Parioli/Nomentano,12.50162,Entire rental unit,Entire home/apt,8,2.0,2.0,4.0,False,4.59511985013459
I Centro Storico,12.51148,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.356708826689592
I Centro Storico,12.48743,Room in bed and breakfast,Hotel room,2,1.0,2.0,1.0,False,4.962844630259907
I Centro Storico,12.46438,Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,False,6.257667587882638
I Centro Storico,12.49958,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.465908118654584
I Centro Storico,12.51155,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.605170185988091
I Centro Storico,12.49007,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,False,5.135798437050261
V Prenestino/Centocelle,12.53516,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.499809670330265
I Centro Storico,12.47602,Entire rental unit,Entire home/apt,4,3.0,2.0,3.0,False,5.902633333401366
I Centro Storico,12.50551,Private room in rental unit,Private room,2,1.0,1.0,2.0,True,4.1588830833596715
XIII Aurelia,12.43085,Private room in rental unit,Private room,3,1.0,1.0,1.0,False,4.219507705176107
V Prenestino/Centocelle,12.53595,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.499809670330265
I Centro Storico,12.51112,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.955827057601261
I Centro Storico,12.49586,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.852030263919617
V Prenestino/Centocelle,12.53405,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.499809670330265
I Centro Storico,12.48604,Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,False,4.543294782270004
I Centro Storico,12.47544,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,5.241747015059643
V Prenestino/Centocelle,12.52577781677246,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,3.9702919135521215
I Centro Storico,12.4558,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,5.342334251964811
I Centro Storico,12.48745,Entire rental unit,Entire home/apt,4,0.0,1.0,1.0,False,5.4116460518550396
I Centro Storico,12.47898,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,False,5.278114659230517
I Centro Storico,12.49304,Private room in guesthouse,Private room,2,1.0,0.0,1.0,False,4.836281906951478
I Centro Storico,12.47342,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,4.927253685157204
I Centro Storico,12.48131,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.867534450455582
I Centro Storico,12.47204,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,False,4.859812404361672
I Centro Storico,12.46953,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,False,5.846438775057724
I Centro Storico,12.46201,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,5.0106352940962555
I Centro Storico,12.47355,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,False,5.247024072160486
I Centro Storico,12.48692,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,False,5.60947179518496
XIII Aurelia,12.45406,Entire condo,Entire home/apt,5,1.0,1.0,0.0,False,5.375278407684164
I Centro Storico,12.49227,Entire rental unit,Entire home/apt,7,3.0,3.0,5.0,False,5.860786223465865
I Centro Storico,12.49467,Private room in serviced apartment,Private room,2,1.0,1.0,1.0,False,4.553876891600541
I Centro Storico,12.49907,Entire condo,Entire home/apt,7,2.0,3.0,7.0,False,5.2832037287379885
I Centro Storico,12.46357,Entire condo,Entire home/apt,5,2.0,2.0,3.0,False,5.583496308781699
I Centro Storico,12.48971,Private room in rental unit,Private room,1,1.0,1.0,1.0,False,3.526360524616161
I Centro Storico,12.48971,Private room in rental unit,Private room,3,1.0,1.0,2.0,False,4.174387269895637
I Centro Storico,12.44981,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,False,4.6913478822291435
I Centro Storico,12.4803,Entire rental unit,Entire home/apt,7,2.0,3.0,4.0,False,5.916202062607435
V Prenestino/Centocelle,12.57165,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,False,3.6109179126442243
IV Tiburtina,12.56337,Entire home,Entire home/apt,2,1.0,1.0,4.0,False,4.0943445622221
I Centro Storico,12.45417,Entire condo,Entire home/apt,3,1.5,1.0,3.0,False,4.74493212836325
I Centro Storico,12.4815,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.941642422609304
